"ID",,,,,"è≥ë¯",S1111,S1121,S1211,S1221,S1TTL,S2111,S2121,S2131,S2211,S2221,S2231,S2TTL,S3111,S3121,S3131,S3141,S3211,S3221,S3231,S3TTL,S4111,S4112,S4121,S4131,S4141,S4211,S4221,S4231,S4241,S4311,S4321,S4331,S4341,S4351,S4TTL,S5111,S5121,S5131,S5141,S5211,S5221,S5311,S5321,S5411,S5421,S5511,S5521,S5TTL,S6111,S6121,S6131,S6211,S6221,S6311,S6321,S6TTL,STTL,101,102,103,104,105,111,112,113,114,115,116,117,118,119,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1131,1132,1133,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1210,1211
="22",="02",="0002",="05",="000",="1",2,1,2,2,7,2,2,2,2,2,2,12,2,2,2,1,2,2,1,12,"",2,2,2,2,2,2,1,1,2,2,2,2,2,24,1,2,2,2,0,0,2,2,1,2,2,2,18,1,2,2,2,2,3,2,14,87,0.93,0.46,1.39,0,0.93,2,5,287,237,70,1,1,1,1,2,2,2,2,2,1,42,77.3,13.1,30,0,30,6,2,2,4,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,37,0,0,2162,394,1218,0,0,0,2,2
="22",="02",="0002",="06",="000",="1",1,1,1,2,5,1,1,2,2,2,2,10,2,2,2,2,2,2,1,13,"",1,1,1,1,2,2,1,0,2,2,1,1,2,17,1,2,2,1,1,1,2,2,1,1,1,1,16,1,2,0,1,2,3,2,11,72,1.06,0,0,0,1.06,2,5,333,283,65,1,1,1,1,2,1,1,2,2,1,43,67,13,27,1,24,7,2,2,2,1,2,2,2,1,4,1,1,1,1,1,1,2,1,2,37,0,0,1894,831,720,0,0,0,2,2
="22",="02",="0002",="09",="000",="1",1,2,2,1,6,2,2,2,2,2,1,11,2,2,2,2,1,1,2,12,"",2,2,2,2,2,2,1,1,2,2,2,2,2,24,2,2,2,0,"","",2,2,1,1,1,1,14,2,1,1,2,2,3,2,13,80,0.81,0,0.81,0,1.21,2,2,369,238,69,1,2,1,2,1,2,2,2,2,1,45,82.7,22,27,0,27,9,2,2,4,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,40,0,0,2481,1015,1234,0,0,0,2,1
="22",="02",="0002",="10",="000",="1",1,1,1,2,5,2,2,2,2,2,2,12,2,2,2,2,1,1,1,11,"",2,2,2,2,2,2,1,1,2,2,2,2,2,24,2,2,2,1,1,1,2,2,2,1,1,1,18,1,2,2,2,2,3,2,14,84,0.95,0,0,0,0.47,2,2,238,224,70,1,2,1,1,1,2,2,2,2,1,46,68.2,10,25,0,30,8,2,2,4,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,0,0,0,2107,558,756,0,0,0,2,2
="22",="02",="0003",="02",="000",="1",2,1,1,2,6,2,1,1,1,2,1,8,2,2,2,1,2,2,2,13,"",1,1,1,1,2,2,1,1,1,1,1,1,0,14,1,2,2,1,0,0,2,2,1,2,1,1,15,1,1,2,2,2,3,1,12,68,2.3,0.33,0.66,0,1.32,2,1,628,572,83.1,1,2,1,1,2,2,2,2,2,1,50,95.4,10.72,30,0,29,6,1,2,8,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,0,0,0,3038,688,1435,0,0,0,2,2
="22",="02",="0003",="03",="000",="1",2,2,2,2,8,2,1,2,2,2,2,11,2,2,2,2,2,2,1,13,"",2,1,2,1,2,0,0,1,0,0,0,0,2,11,1,2,2,2,2,1,2,0,1,2,2,2,19,1,1,2,2,2,2,2,12,74,2.16,0.36,0.36,1.08,0,2,1,628,50,96.3,1,1,1,1,1,2,2,2,2,1,50,93.5,10.6,33,0,31,8,1,3,8,1,1,1,2,1,2,1,1,2,2,1,2,2,2,1,30.6,0,0,2776,859,1744,0,0,0,2,1
="22",="02",="0003",="04",="000",="1",2,1,1,2,6,2,2,2,1,2,2,11,1,2,1,2,2,2,1,11,"",2,1,2,2,2,1,1,1,2,2,2,2,2,22,2,1,2,1,1,0,2,2,1,1,2,2,17,1,2,0,2,2,2,1,10,77,2.02,0.34,1.34,0.34,0.67,2,2,628,572,83.1,1,1,1,2,1,2,2,2,2,1,50,99.6,20.7,30,0,30,6,1,3,8,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,31.7,0,0,2975,1399,1322,0,0,0,2,2
="22",="02",="0003",="05",="000",="1",2,2,2,2,8,2,1,2,2,0,1,8,2,2,2,2,2,2,2,14,"",2,2,2,1,2,2,1,1,2,2,2,2,2,23,2,2,2,2,1,1,2,2,1,2,1,1,19,2,2,2,2,2,2,2,14,86,3.31,0,1.1,6.63,3.31,2,2,608,454,93.5,1,2,1,1,2,2,2,2,2,1,50,98,11,32,0,32,8,1,2,8,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,0,0,0,2716,877,1028,0,0,0,2,1
="22",="02",="0003",="07",="000",="1",1,1,1,1,4,2,1,2,2,2,2,11,0,0,0,0,2,2,1,5,"",2,1,2,1,2,0,1,1,2,2,2,2,2,20,2,2,2,2,1,1,2,2,2,2,1,2,21,1,2,2,2,2,3,2,14,75,3.15,3.15,2.1,0,0.7,2,1,50,612,78,1,1,1,2,1,2,2,2,2,1,50,85.5,12.9,32,0,32,6,1,2,8,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,31.4,0,0,2765,700,916,1227680537,0,0,2,2
="22",="02",="0003",="08",="000",="1",2,2,1,2,7,2,1,2,1,2,2,10,0,0,0,0,2,2,1,5,"",2,2,1,1,1,1,1,1,2,2,2,2,2,20,1,2,2,1,1,1,1,2,2,2,1,1,17,1,1,2,2,2,2,2,12,71,0.78,0.78,1.17,0,0,2,2,521,498,98.2,1,2,1,2,1,1,1,2,2,1,46,93,13.8,29,0,27,7,1,2,8,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,0,0,0,2571,1107,692,0,0,0,2,2
