高得点基準以上の大項目
ID,ID1,高得点基準,平均点,項目
1,3,11,13.0,家族の絆を強める
2,2,15.5,15.6,内なる力を強める
低得点基準以下の大項目
ID,ID1,低得点基準,平均点,項目
1,4,16,14.0,直接ケア
1,5,15,15.0,場をつくる
3,1,5,4.8,患者への接近
3,3,5,1.8,家族の絆を強める
3,4,7.3,6.9,直接ケア
3,5,5,4.2,場をつくる
3,6,5,4.0,インシデントを防ぐ
高得点基準以上の中項目
ID,ID1,ID2,高得点基準,平均点,項目
1,3,1,6,7.0,家族／重要他者が気持ちよく過ごせる病室以外の空間がある。
1,3,2,5,6.0,患者がベッドサイドで、家族／重要他者との繋がりを保つことができる設備がある。
1,5,1,6,6.0,看護チーム内の役割分担が明確になっている。
1,5,3,3,4.0,看護師間で情報を共有したり、働きかけの方向性を考える場がある。
1,5,4,3,3.0,多職種が集まって話し合いの場がある。
1,6,2,3,4.0,インシデント対応システムがある。
2,1,1,8,8.0,看護師は根拠を持って患者や家族のことを把握している。
2,2,2,7.7,8.0,予測や見通しを高める。
2,4,1,5.3,6.0,看護師は患者の状況にあった保清をする。
2,6,2,5.6,5.8,看護師は自らの判断で、必要に応じて指示の確認をする。
低得点基準以下の中項目
ID,ID1,ID2,低得点基準,平均点,項目
1,1,1,3,3.0,個別情報を示す道具がある。
1,1,2,3,3.0,患者や家族の習慣、希望、時、空間、安全性を尊重する姿勢を持っている。
1,4,1,5,4.0,病棟で起こりうる特徴的な苦痛あるいは問題について基準・手順がある。
1,4,3,6,4.0,看護業務の中に日常生活援助に責任を負える体制がある。
1,5,2,2,0.0,看護師同士の協力体制がある。
1,5,5,2,2.0,スタッフ間の関係性が良い。
3,1,1,5,4.8,患者への接近
3,3,1,5,1.8,家族の絆を強める。
3,4,1,7.3,6.9,直接ケア
3,5,1,5,4.2,場をつくる
3,6,1,5,4.0,インシデントを防ぐ
基準点以下の質問
ID,ID1,ID2,ID3,ID4,基準点,点数,項目
