高得点基準以上の大項目
ID,ID1,高得点基準,平均点,項目
2,5,10.7,11.2,場をつくる
低得点基準以下の大項目
ID,ID1,低得点基準,平均点,項目
1,1,5,4.0,患者への接近
1,4,16,14.0,直接ケア
1,5,15,15.0,場をつくる
1,6,10,5.0,インシデントを防ぐ
2,1,18,16.0,患者への接近
2,2,12,11.5,内なる力を強める
3,1,5,4.6,患者への接近
3,3,5,3.3,家族の絆を強める
3,4,7.3,6.7,直接ケア
3,5,5,4.5,場をつくる
3,6,5,4.5,インシデントを防ぐ
高得点基準以上の中項目
ID,ID1,ID2,高得点基準,平均点,項目
1,2,2,5,6.0,患者が自分の状況を理解する場面（インフォームドコンセント）で、看護師が何らかの役割を担っている。
1,5,1,6,7.0,看護チーム内の役割分担が明確になっている。
1,5,3,3,3.0,看護師間で情報を共有したり、働きかけの方向性を考える場がある。
1,6,2,3,3.0,インシデント対応システムがある。
2,3,2,5,5.2,患者ケアへの家族の参加を支援する。
2,5,1,5.3,5.8,他の専門職との意見交換の場を調整し、活用する。
2,5,2,5.3,5.5,看護師同士が協働している。
低得点基準以下の中項目
ID,ID1,ID2,低得点基準,平均点,項目
1,1,1,3,2.0,個別情報を示す道具がある。
1,1,2,3,2.0,患者や家族の習慣、希望、時、空間、安全性を尊重する姿勢を持っている。
1,2,1,3,3.0,疾患の予後、痛みの状況回復過程に関する資料がある。
1,4,2,5,4.0,看護の質から見た設備・備品がある。
1,4,3,6,4.0,看護業務の中に日常生活援助に責任を負える体制がある。
1,5,2,2,1.0,看護師同士の協力体制がある。
1,5,4,2,2.0,多職種が集まって話し合いの場がある。
1,5,5,2,2.0,スタッフ間の関係性が良い。
1,6,1,3,2.0,安全に過ごす為の設備・基準が整っている。
1,6,3,3,0.0,インシデントを防ぐのに必要な人員配置がある。
2,1,1,6.8,6.0,看護師は根拠を持って患者や家族のことを把握している。
2,1,2,6.7,6.2,看護師は患者や家族のおかれている状態・状況を把握している。
2,1,3,4.5,3.8,看護師は患者や家族との関係づくりをしている。
2,2,1,6.5,6.5,患者の状況理解をすすめる。
2,2,2,6.5,5.0,予測や見通しを高める。
3,1,1,5,4.6,患者への接近
3,3,1,5,3.3,家族の絆を強める。
3,4,1,7.3,6.7,直接ケア
3,5,1,5,4.5,場をつくる
3,6,1,5,4.5,インシデントを防ぐ
基準点以下の質問
ID,ID1,ID2,ID3,ID4,基準点,点数,項目
1,6,3,1,1,1,0.0,"ケアを行う為の看護師の数が十分である。"
