高得点基準以上の大項目
ID,ID1,高得点基準,平均点,項目
1,2,10,10.0,内なる力を強める
1,3,11,14.0,家族の絆を強める
1,4,22,22.0,直接ケア
1,5,21,22.0,場をつくる
1,6,14,15.0,インシデントを防ぐ
3,1,5.6,5.7,患者への接近
3,2,5.8,5.8,内なる力を強める
3,4,8.2,8.6,直接ケア
3,6,5.6,5.6,インシデントを防ぐ
低得点基準以下の大項目
ID,ID1,低得点基準,平均点,項目
2,1,18,18.0,患者への接近
2,4,17.5,17.5,直接ケア
2,5,8.2,7.0,場をつくる
3,3,5,4.2,家族の絆を強める
高得点基準以上の中項目
ID,ID1,ID2,高得点基準,平均点,項目
1,1,2,4,4.0,患者や家族の習慣、希望、時、空間、安全性を尊重する姿勢を持っている。
1,2,2,5,6.0,患者が自分の状況を理解する場面（インフォームドコンセント）で、看護師が何らかの役割を担っている。
1,3,1,6,8.0,家族／重要他者が気持ちよく過ごせる病室以外の空間がある。
1,3,2,5,6.0,患者がベッドサイドで、家族／重要他者との繋がりを保つことができる設備がある。
1,4,3,8,10.0,看護業務の中に日常生活援助に責任を負える体制がある。
1,5,1,6,7.0,看護チーム内の役割分担が明確になっている。
1,5,2,3,3.0,看護師同士の協力体制がある。
1,5,3,3,4.0,看護師間で情報を共有したり、働きかけの方向性を考える場がある。
1,5,4,3,4.0,多職種が集まって話し合いの場がある。
1,5,5,3,4.0,スタッフ間の関係性が良い。
1,6,1,5,5.0,安全に過ごす為の設備・基準が整っている。
1,6,2,3,4.0,インシデント対応システムがある。
1,6,3,5,6.0,インシデントを防ぐのに必要な人員配置がある。
2,3,1,7.8,8.0,家族／重要他者とともにいる場を確保する。
2,6,2,5.6,6.0,看護師は自らの判断で、必要に応じて指示の確認をする。
2,6,3,7.9,8.0,基準や手順を守り安全に処置をする。
3,1,1,5.6,5.7,患者への接近
3,2,1,5.8,5.8,内なる力を強める。
3,4,1,8.2,8.6,直接ケア
3,6,1,5.6,5.6,インシデントを防ぐ
低得点基準以下の中項目
ID,ID1,ID2,低得点基準,平均点,項目
1,1,1,3,2.0,個別情報を示す道具がある。
2,1,3,4.5,3.0,看護師は患者や家族との関係づくりをしている。
2,2,2,6.5,6.0,予測や見通しを高める。
2,4,1,4,3.0,看護師は患者の状況にあった保清をする。
2,4,2,11,10.0,苦痛を緩和する。
2,5,1,4.1,3.5,他の専門職との意見交換の場を調整し、活用する。
2,5,2,4.1,3.5,看護師同士が協働している。
2,6,1,6.5,5.0,看護師は危険性を見極めながら、患者の危険なサインが出たらすぐにストップできるという構えを持ち、ケアしている。
3,3,1,5,4.2,家族の絆を強める。
基準点以下の質問
ID,ID1,ID2,ID3,ID4,基準点,点数,項目
