高得点基準以上の大項目
ID,ID1,高得点基準,平均点,項目
2,4,24,25.8,直接ケア
低得点基準以下の大項目
ID,ID1,低得点基準,平均点,項目
1,1,5,5.0,患者への接近
1,3,8,8.0,家族の絆を強める
1,4,16,14.0,直接ケア
1,5,15,13.0,場をつくる
2,3,9.7,8.6,家族の絆を強める
3,3,5,1.8,家族の絆を強める
3,4,7.3,7.2,直接ケア
3,5,5,4.5,場をつくる
高得点基準以上の中項目
ID,ID1,ID2,高得点基準,平均点,項目
1,5,2,3,3.0,看護師同士の協力体制がある。
1,6,2,3,4.0,インシデント対応システムがある。
2,1,1,8,8.2,看護師は根拠を持って患者や家族のことを把握している。
2,1,2,8,8.4,看護師は患者や家族のおかれている状態・状況を把握している。
2,4,1,5.3,6.0,看護師は患者の状況にあった保清をする。
2,4,2,13.3,14.0,苦痛を緩和する。
2,4,3,5.3,5.8,継続性・個別性のあるケアをする。
2,5,1,5.3,5.4,他の専門職との意見交換の場を調整し、活用する。
2,6,2,5.6,5.8,看護師は自らの判断で、必要に応じて指示の確認をする。
2,6,3,7.9,8.6,基準や手順を守り安全に処置をする。
低得点基準以下の中項目
ID,ID1,ID2,低得点基準,平均点,項目
1,1,1,3,3.0,個別情報を示す道具がある。
1,1,2,3,2.0,患者や家族の習慣、希望、時、空間、安全性を尊重する姿勢を持っている。
1,3,1,4,4.0,家族／重要他者が気持ちよく過ごせる病室以外の空間がある。
1,4,1,5,4.0,病棟で起こりうる特徴的な苦痛あるいは問題について基準・手順がある。
1,4,3,6,4.0,看護業務の中に日常生活援助に責任を負える体制がある。
1,5,3,2,1.0,看護師間で情報を共有したり、働きかけの方向性を考える場がある。
1,5,4,2,2.0,多職種が集まって話し合いの場がある。
1,5,5,2,2.0,スタッフ間の関係性が良い。
2,1,3,4.5,4.2,看護師は患者や家族との関係づくりをしている。
2,3,1,6.1,4.8,家族／重要他者とともにいる場を確保する。
2,3,2,3.9,3.8,患者ケアへの家族の参加を支援する。
3,3,1,5,1.8,家族の絆を強める。
3,4,1,7.3,7.2,直接ケア
3,5,1,5,4.5,場をつくる
基準点以下の質問
ID,ID1,ID2,ID3,ID4,基準点,点数,項目
