高得点基準以上の大項目
ID,ID1,高得点基準,平均点,項目
1,3,11,12.0,家族の絆を強める
1,6,14,14.0,インシデントを防ぐ
低得点基準以下の大項目
ID,ID1,低得点基準,平均点,項目
2,1,18,17.0,患者への接近
2,2,12,10.4,内なる力を強める
2,3,9.7,8.6,家族の絆を強める
3,3,5,2.4,家族の絆を強める
3,6,5,5.0,インシデントを防ぐ
高得点基準以上の中項目
ID,ID1,ID2,高得点基準,平均点,項目
1,1,2,4,4.0,患者や家族の習慣、希望、時、空間、安全性を尊重する姿勢を持っている。
1,2,2,5,5.0,患者が自分の状況を理解する場面（インフォームドコンセント）で、看護師が何らかの役割を担っている。
1,3,1,6,8.0,家族／重要他者が気持ちよく過ごせる病室以外の空間がある。
1,4,1,7,8.0,病棟で起こりうる特徴的な苦痛あるいは問題について基準・手順がある。
1,5,1,6,7.0,看護チーム内の役割分担が明確になっている。
1,5,3,3,4.0,看護師間で情報を共有したり、働きかけの方向性を考える場がある。
1,5,4,3,3.0,多職種が集まって話し合いの場がある。
1,5,5,3,4.0,スタッフ間の関係性が良い。
1,6,1,5,5.0,安全に過ごす為の設備・基準が整っている。
1,6,2,3,4.0,インシデント対応システムがある。
1,6,3,5,5.0,インシデントを防ぐのに必要な人員配置がある。
2,4,1,5.3,5.4,看護師は患者の状況にあった保清をする。
2,6,3,7.9,8.0,基準や手順を守り安全に処置をする。
低得点基準以下の中項目
ID,ID1,ID2,低得点基準,平均点,項目
1,1,1,3,3.0,個別情報を示す道具がある。
1,5,2,2,2.0,看護師同士の協力体制がある。
2,1,1,6.8,6.6,看護師は根拠を持って患者や家族のことを把握している。
2,1,2,6.7,6.6,看護師は患者や家族のおかれている状態・状況を把握している。
2,1,3,4.5,3.8,看護師は患者や家族との関係づくりをしている。
2,2,1,6.5,5.0,患者の状況理解をすすめる。
2,2,2,6.5,5.4,予測や見通しを高める。
2,3,1,6.1,5.4,家族／重要他者とともにいる場を確保する。
2,3,2,3.9,3.2,患者ケアへの家族の参加を支援する。
2,5,1,4.1,4.0,他の専門職との意見交換の場を調整し、活用する。
3,3,1,5,2.4,家族の絆を強める。
3,6,1,5,5.0,インシデントを防ぐ
基準点以下の質問
ID,ID1,ID2,ID3,ID4,基準点,点数,項目
