高得点基準以上の大項目
ID,ID1,高得点基準,平均点,項目
3,2,5.8,5.8,内なる力を強める
低得点基準以下の大項目
ID,ID1,低得点基準,平均点,項目
1,5,15,14.0,場をつくる
1,6,10,10.0,インシデントを防ぐ
2,1,18,17.4,患者への接近
2,2,12,11.6,内なる力を強める
2,6,18.3,17.8,インシデントを防ぐ
3,3,5,2.3,家族の絆を強める
3,5,5,4.9,場をつくる
高得点基準以上の中項目
ID,ID1,ID2,高得点基準,平均点,項目
1,4,3,8,10.0,看護業務の中に日常生活援助に責任を負える体制がある。
1,5,1,6,6.0,看護チーム内の役割分担が明確になっている。
1,5,3,3,4.0,看護師間で情報を共有したり、働きかけの方向性を考える場がある。
3,2,1,5.8,5.8,内なる力を強める。
低得点基準以下の中項目
ID,ID1,ID2,低得点基準,平均点,項目
1,1,1,3,3.0,個別情報を示す道具がある。
1,1,2,3,3.0,患者や家族の習慣、希望、時、空間、安全性を尊重する姿勢を持っている。
1,4,1,5,5.0,病棟で起こりうる特徴的な苦痛あるいは問題について基準・手順がある。
1,4,2,5,5.0,看護の質から見た設備・備品がある。
1,5,2,2,0.0,看護師同士の協力体制がある。
1,5,4,2,2.0,多職種が集まって話し合いの場がある。
1,5,5,2,2.0,スタッフ間の関係性が良い。
1,6,2,2,2.0,インシデント対応システムがある。
2,1,3,4.5,2.8,看護師は患者や家族との関係づくりをしている。
2,2,1,6.5,5.0,患者の状況理解をすすめる。
2,3,2,3.9,3.6,患者ケアへの家族の参加を支援する。
2,4,1,4,3.2,看護師は患者の状況にあった保清をする。
2,4,3,4,2.6,継続性・個別性のあるケアをする。
2,5,1,4.1,4.0,他の専門職との意見交換の場を調整し、活用する。
2,6,1,6.5,5.2,看護師は危険性を見極めながら、患者の危険なサインが出たらすぐにストップできるという構えを持ち、ケアしている。
3,3,1,5,2.3,家族の絆を強める。
3,5,1,5,4.9,場をつくる
基準点以下の質問
ID,ID1,ID2,ID3,ID4,基準点,点数,項目
