高得点基準以上の大項目
ID,ID1,高得点基準,平均点,項目
1,2,10,10.0,内なる力を強める
2,1,21,21.2,患者への接近
2,2,15.5,15.6,内なる力を強める
2,3,13,13.4,家族の絆を強める
2,4,24,24.8,直接ケア
低得点基準以下の大項目
ID,ID1,低得点基準,平均点,項目
3,3,5,1.9,家族の絆を強める
3,5,5,4.8,場をつくる
3,6,5,5.0,インシデントを防ぐ
高得点基準以上の中項目
ID,ID1,ID2,高得点基準,平均点,項目
1,2,2,5,6.0,患者が自分の状況を理解する場面（インフォームドコンセント）で、看護師が何らかの役割を担っている。
1,3,1,6,6.0,家族／重要他者が気持ちよく過ごせる病室以外の空間がある。
1,4,3,8,8.0,看護業務の中に日常生活援助に責任を負える体制がある。
1,5,3,3,4.0,看護師間で情報を共有したり、働きかけの方向性を考える場がある。
1,5,4,3,3.0,多職種が集まって話し合いの場がある。
1,5,5,3,4.0,スタッフ間の関係性が良い。
1,6,2,3,4.0,インシデント対応システムがある。
2,1,1,8,8.2,看護師は根拠を持って患者や家族のことを把握している。
2,1,2,8,8.6,看護師は患者や家族のおかれている状態・状況を把握している。
2,2,2,7.7,8.4,予測や見通しを高める。
2,3,1,7.8,8.4,家族／重要他者とともにいる場を確保する。
2,3,2,5,5.0,患者ケアへの家族の参加を支援する。
2,4,1,5.3,6.0,看護師は患者の状況にあった保清をする。
2,4,3,5.3,5.6,継続性・個別性のあるケアをする。
2,6,1,7.9,8.0,看護師は危険性を見極めながら、患者の危険なサインが出たらすぐにストップできるという構えを持ち、ケアしている。
2,6,2,5.6,5.6,看護師は自らの判断で、必要に応じて指示の確認をする。
低得点基準以下の中項目
ID,ID1,ID2,低得点基準,平均点,項目
1,1,1,3,3.0,個別情報を示す道具がある。
1,1,2,3,3.0,患者や家族の習慣、希望、時、空間、安全性を尊重する姿勢を持っている。
1,5,2,2,1.0,看護師同士の協力体制がある。
2,1,3,4.5,4.4,看護師は患者や家族との関係づくりをしている。
3,3,1,5,1.9,家族の絆を強める。
3,5,1,5,4.8,場をつくる
3,6,1,5,5.0,インシデントを防ぐ
基準点以下の質問
ID,ID1,ID2,ID3,ID4,基準点,点数,項目
